COLUMN_COUNTER,COLUMN_NAME,OCCURRENCE_COUNT,FOUND_IN_TABLES
1,USERIDUPDATED,4,"XROLLPROD, XROLLPRODRG, XROLLPRODS, XROLLPROF"
2,CREATEDBY,4,"XROLLPROD, XROLLPRODRG, XROLLPRODS, XROLLPROF"
3,DTCREATED,4,"XROLLPROD, XROLLPRODRG, XROLLPRODS, XROLLPROF"
4,DTMODIFIED,4,"XROLLPROD, XROLLPRODRG, XROLLPRODS, XROLLPROF"
5,DTRELEASE,4,"XROLLPROD, XROLLPRODRG, XROLLPRODS, XROLLPROF"
6,USERIDCREATED,4,"XROLLPROD, XROLLPRODRG, XROLLPRODS, XROLLPROF"
7,VERSION,4,"XROLLPROD, XROLLPRODRG, XROLLPRODS, XROLLPROF"
8,MODIFIEDBY,4,"XROLLPROD, XROLLPRODRG, XROLLPRODS, XROLLPROF"
9,DTUPDATED,4,"XROLLPROD, XROLLPRODRG, XROLLPRODS, XROLLPROF"
10,PROFILEID,4,"XROLLPROD, XROLLPRODRG, XROLLPRODS, XROLLPROF"
11,STATUS,4,"XROLLPROD, XROLLPRODRG, XROLLPRODS, XROLLPROF"
12,PRODUCTID,3,"XROLLPROD, XROLLPRODRG, XROLLPRODS"
13,DESCRIPTION,2,"XROLLPROD, XROLLPROF"
14,LENMIN,2,"XROLLPROD, XROLLPRODS"
15,CALIBRATIOND3,1,XROLLPROF
16,CALIBRATIOND4,1,XROLLPROF
17,CEDAGED3,1,XROLLPROF
18,CEDAGED4,1,XROLLPROF
19,CODEMARK,1,XROLLPROD
20,DEFECTBFL,1,XROLLPROD
21,DEFECTG,1,XROLLPROD
22,DEFECTJ,1,XROLLPROD
23,DEFECTK,1,XROLLPROD
24,DEFECTMSZ,1,XROLLPROD
25,DEFECTWKS,1,XROLLPROD
26,DEFECTX,1,XROLLPROD
27,DERIVATIVE,1,XROLLPROD
28,DERRTR1OFFS1A,1,XROLLPROF
29,DERRTR1OFFS1B,1,XROLLPROF
30,DERRTR1OFFS1C,1,XROLLPROF
31,DERRTR1OFFS1D,1,XROLLPROF
32,DERRTR1OFFS1E,1,XROLLPROF
33,DERRTR1OFFS1F,1,XROLLPROF
34,DERRTR1OFFS2A,1,XROLLPROF
35,DERRTR1OFFS2B,1,XROLLPROF
36,DERRTR1OFFS2C,1,XROLLPROF
37,DERRTR1OFFS2D,1,XROLLPROF
38,DERRTR1OFFS2E,1,XROLLPROF
39,DERRTR1OFFS2F,1,XROLLPROF
40,DERRTR1POSA,1,XROLLPROF
41,DERRTR1POSB,1,XROLLPROF
42,DERRTR1POSC,1,XROLLPROF
43,DERRTR1POSD,1,XROLLPROF
44,DERRTR1POSE,1,XROLLPROF
45,DERRTR1POSF,1,XROLLPROF
46,DERRTR3OFFS1A,1,XROLLPROF
47,DERRTR3OFFS1B,1,XROLLPROF
48,DERRTR3OFFS1C,1,XROLLPROF
49,DERRTR3OFFS1D,1,XROLLPROF
50,DERRTR3OFFS1E,1,XROLLPROF
51,DERRTR3OFFS1F,1,XROLLPROF
52,DERRTR3OFFS2A,1,XROLLPROF
53,DERRTR3OFFS2B,1,XROLLPROF
54,DERRTR3OFFS2C,1,XROLLPROF
55,DERRTR3OFFS2D,1,XROLLPROF
56,DERRTR3OFFS2E,1,XROLLPROF
57,DERRTR3OFFS2F,1,XROLLPROF
58,DERRTR3POSA,1,XROLLPROF
59,DERRTR3POSB,1,XROLLPROF
60,DERRTR3POSC,1,XROLLPROF
61,DERRTR3POSD,1,XROLLPROF
62,DERRTR3POSE,1,XROLLPROF
63,DERRTR3POSF,1,XROLLPROF
64,DEVTR1OFFS1A,1,XROLLPROF
65,DEVTR1OFFS1B,1,XROLLPROF
66,DEVTR1OFFS1C,1,XROLLPROF
67,DEVTR1OFFS1D,1,XROLLPROF
68,DEVTR1OFFS1E,1,XROLLPROF
69,DEVTR1OFFS1F,1,XROLLPROF
70,DEVTR1OFFS2A,1,XROLLPROF
71,DEVTR1OFFS2B,1,XROLLPROF
72,DEVTR1OFFS2C,1,XROLLPROF
73,DEVTR1OFFS2D,1,XROLLPROF
74,DEVTR1OFFS2E,1,XROLLPROF
75,DEVTR1OFFS2F,1,XROLLPROF
76,DEVTR1POSA,1,XROLLPROF
77,DEVTR1POSB,1,XROLLPROF
78,DEVTR1POSC,1,XROLLPROF
79,DEVTR1POSD,1,XROLLPROF
80,DEVTR1POSE,1,XROLLPROF
81,DEVTR1POSF,1,XROLLPROF
82,DEVTR3OFFS1A,1,XROLLPROF
83,DEVTR3OFFS1B,1,XROLLPROF
84,DEVTR3OFFS1C,1,XROLLPROF
85,DEVTR3OFFS1D,1,XROLLPROF
86,DEVTR3OFFS1E,1,XROLLPROF
87,DEVTR3OFFS1F,1,XROLLPROF
88,DEVTR3OFFS2A,1,XROLLPROF
89,DEVTR3OFFS2B,1,XROLLPROF
90,DEVTR3OFFS2C,1,XROLLPROF
91,DEVTR3OFFS2D,1,XROLLPROF
92,DEVTR3OFFS2E,1,XROLLPROF
93,DEVTR3OFFS2F,1,XROLLPROF
94,DEVTR3POSA,1,XROLLPROF
95,DEVTR3POSB,1,XROLLPROF
96,DEVTR3POSC,1,XROLLPROF
97,DEVTR3POSD,1,XROLLPROF
98,DEVTR3POSE,1,XROLLPROF
99,DEVTR3POSF,1,XROLLPROF
100,DIMENSIONALGROUP,1,XROLLPROF
101,DURMAXD3,1,XROLLPROF
102,DURMAXD4,1,XROLLPROF
103,EPCSGLAM,1,XROLLPROD
104,EPFLAGDEFAULT,1,XROLLPROD
105,EPMINRELAM,1,XROLLPROD
106,FLAGREFOULE,1,XROLLPROF
107,FLAGREHEAT,1,XROLLPROF
108,GROSSPLSTD1,1,XROLLPROF
109,GROSSPLSTD2,1,XROLLPROF
110,GROSSPLSTD3,1,XROLLPROF
111,GROSSPLSTD4,1,XROLLPROF
112,GROSSPRODREFCUT,1,XROLLPRODS
113,GROSSRATEREF1DP,1,XROLLPRODS
114,GROSSRATEREF2DP,1,XROLLPRODS
115,GUIDEINDRV,1,XROLLPROF
116,GUIDEINOP,1,XROLLPROF
117,HEIGHT,1,XROLLPROD
118,HEIGHTSTRGT,1,XROLLPROF
119,ILBUMPSTOLMAX,1,XROLLPROD
120,ILMAX,1,XROLLPROD
121,ILMIN,1,XROLLPROD
122,ILPAIRTOLMAX,1,XROLLPROD
123,ILPAIRTOLMIN,1,XROLLPROD
124,ILPAIRWTOLMAX,1,XROLLPROD
125,ILPAIRWTOLMIN,1,XROLLPROD
126,ILRESISTMAX,1,XROLLPROD
127,ILRESISTMIN,1,XROLLPROD
128,ILWIDTHMAX,1,XROLLPROD
129,ILWIDTHMIN,1,XROLLPROD
130,KGMAXTOTAL,1,XROLLPROF
131,LENAIM,1,XROLLPRODS
132,LENMAX,1,XROLLPRODS
133,LENMOTHER,1,XROLLPRODS
134,LENOXYCUTHEAD,1,XROLLPRODS
135,LENOXYCUTTAIL,1,XROLLPRODS
136,LUBRA,1,XROLLPROF
137,LUBRB,1,XROLLPROF
138,LUBRC,1,XROLLPROF
139,LUBRCONED3,1,XROLLPROF
140,LUBRCONED4,1,XROLLPROF
141,LUBRD,1,XROLLPROF
142,LUBRE,1,XROLLPROF
143,LUBRF,1,XROLLPROF
144,MACHPLSTD1,1,XROLLPROF
145,MACHPLSTD2,1,XROLLPROF
146,MACHPLSTD3,1,XROLLPROF
147,MACHPLSTD4,1,XROLLPROF
148,MAXFORCERS3,1,XROLLPRODS
149,MAXFORCERS4,1,XROLLPRODS
150,MAXFORCERS4STEP1,1,XROLLPRODS
151,MAXFORCERS4STEP2,1,XROLLPRODS
152,MAXNBOFCUTS,1,XROLLPROF
153,MAXTEMPDESCALE,1,XROLLPRODS
154,MAXTORQRS1,1,XROLLPRODS
155,MAXTORQRS2,1,XROLLPRODS
156,MAXTORQRS3,1,XROLLPRODS
157,MAXTORQRS4,1,XROLLPRODS
158,MINTEMPDESCALE,1,XROLLPRODS
159,MINTEMPMODEL,1,XROLLPRODS
160,MISEAUMILLE,1,XROLLPROD
161,NEGROLLING,1,XROLLPRODS
162,NETPRODREFCUT,1,XROLLPRODS
163,NETRATEREF1DP,1,XROLLPRODS
164,NETRATEREF2DP,1,XROLLPRODS
165,OBJRENDTECH,1,XROLLPRODS
166,OXYCUTHEADPOS,1,XROLLPRODS
167,OXYCUTTAILPOS,1,XROLLPRODS
168,PREFSEMITYPE,1,XROLLPROF
169,PRODRATE,1,XROLLPROD
170,PROFPERSTAND,1,XROLLPROF
171,PROFSTD1,1,XROLLPROF
172,PROFSTD2,1,XROLLPROF
173,PROFSTD3,1,XROLLPROF
174,PROFSTD4,1,XROLLPROF
175,R1AXIAL,1,XROLLPRODRG
176,R1DIAM1,1,XROLLPROF
177,R1DIAM2,1,XROLLPROF
178,R2AXIAL,1,XROLLPRODRG
179,R2DIAM1,1,XROLLPROF
180,R2DIAM2,1,XROLLPROF
181,R2OFFSET,1,XROLLPRODRG
182,R2PRE,1,XROLLPRODRG
183,R2VERT,1,XROLLPRODRG
184,R3AXIAL,1,XROLLPRODRG
185,R3DIAM1,1,XROLLPROF
186,R3DIAM2,1,XROLLPROF
187,R4AXIAL,1,XROLLPRODRG
188,R4DIAM1,1,XROLLPROF
189,R4DIAM2,1,XROLLPROF
190,R4OFFSET,1,XROLLPRODRG
191,R4PRE,1,XROLLPRODRG
192,R4VERT,1,XROLLPRODRG
193,R5AXIAL,1,XROLLPRODRG
194,R5DIAM1,1,XROLLPROF
195,R5DIAM2,1,XROLLPROF
196,R6AXIAL,1,XROLLPRODRG
197,R6DIAM1,1,XROLLPROF
198,R6DIAM2,1,XROLLPROF
199,R6OFFSET,1,XROLLPRODRG
200,R6PRE,1,XROLLPRODRG
201,R6VERT,1,XROLLPRODRG
202,R7AXIAL,1,XROLLPRODRG
203,R7DIAM1,1,XROLLPROF
204,R7DIAM2,1,XROLLPROF
205,R8AXIAL,1,XROLLPRODRG
206,R8DIAM1,1,XROLLPROF
207,R8DIAM2,1,XROLLPROF
208,R8OFFSET,1,XROLLPRODRG
209,R8PRE,1,XROLLPRODRG
210,R8VERT,1,XROLLPRODRG
211,R9AXIAL,1,XROLLPRODRG
212,R9DIAM1,1,XROLLPROF
213,R9DIAM2,1,XROLLPROF
214,R9VERT,1,XROLLPRODRG
215,RATEFURN1DP,1,XROLLPRODS
216,RATEFURN1DPMAX,1,XROLLPRODS
217,RATEFURN2DP,1,XROLLPRODS
218,RATEFURN2DPMAX,1,XROLLPRODS
219,RATEPRODUNLOAD,1,XROLLPRODS
220,REFRENDTECH,1,XROLLPRODS
221,REMARK,1,XROLLPRODRG
222,REMARKD3,1,XROLLPROF
223,REMARKD4,1,XROLLPROF
224,ROLLGRADE,1,XROLLPRODRG
225,ROLLINDRV,1,XROLLPROF
226,ROLLINOP,1,XROLLPROF
227,ROLLOUT,1,XROLLPROF
228,ROLLPINCH,1,XROLLPROF
229,RSVCALC,1,XROLLPRODS
230,RTIN,1,XROLLPROF
231,SA,1,XROLLPROD
232,SAMEAIM,1,XROLLPROD
233,SAMEMAX,1,XROLLPROD
234,SAMEMIN,1,XROLLPROD
235,SAPPROFIL,1,XROLLPROD
236,SB,1,XROLLPROD
237,SB12B3MIN,1,XROLLPROD
238,SCHKANGLEAIM,1,XROLLPROD
239,SCHKANGLEMAX,1,XROLLPROD
240,SCTRLROLL1,1,XROLLPROD
241,SCTRLROLL2,1,XROLLPROD
242,SDIST1,1,XROLLPROD
243,SDIST2,1,XROLLPROD
244,SDIST3,1,XROLLPROD
245,SDIST4,1,XROLLPROD
246,SDIST5,1,XROLLPROD
247,SDIST6,1,XROLLPROD
248,SDIST7,1,XROLLPROD
249,SDIST8,1,XROLLPROD
250,SDIST9,1,XROLLPROD
251,SECTIONALAREA,1,XROLLPROD
252,SEMISTYPE,1,XROLLPRODS
253,SHAPE,1,XROLLPROF
254,SPDDRESS,1,XROLLPROF
255,SPDIN,1,XROLLPROF
256,SPDMAXINA,1,XROLLPROF
257,SPDMAXINB,1,XROLLPROF
258,SPDMAXINC,1,XROLLPROF
259,SPDMAXIND,1,XROLLPROF
260,SPDMAXINE,1,XROLLPROF
261,SPDMAXINF,1,XROLLPROF
262,SPDMAXOUTA,1,XROLLPROF
263,SPDMAXOUTB,1,XROLLPROF
264,SPDMAXOUTC,1,XROLLPROF
265,SPDMAXOUTD,1,XROLLPROF
266,SPDMAXOUTE,1,XROLLPROF
267,SPDMAXOUTF,1,XROLLPROF
268,SREMARK,1,XROLLPROD
269,STDLOC,1,XROLLPROD
270,STR1AIM,1,XROLLPROD
271,STR1MAX,1,XROLLPROD
272,STR1MIN,1,XROLLPROD
273,STR3AIM,1,XROLLPROD
274,STR3MAX,1,XROLLPROD
275,STR3MIN,1,XROLLPROD
276,SWGT4LENINCAME,1,XROLLPROD
277,SWGT4LENINCTR1,1,XROLLPROD
278,SWGT4LENINCTR3,1,XROLLPROD
279,SWGT4LENPERCAME,1,XROLLPROD
280,SWGT4LENPERCTR1,1,XROLLPROD
281,SWGT4LENPERCTR3,1,XROLLPROD
282,SWIDTHAIM,1,XROLLPROD
283,SWIDTHEXT,1,XROLLPROD
284,SWIDTHSTD,1,XROLLPROD
285,SXMAX,1,XROLLPROD
286,SYMAX,1,XROLLPROD
287,TEMPMAXD3,1,XROLLPROF
288,TEMPMAXD4,1,XROLLPROF
289,TEMPMIND3,1,XROLLPROF
290,TEMPMIND4,1,XROLLPROF
291,TEMPMODEL,1,XROLLPRODS
292,THEOLENGAIN,1,XROLLPRODS
293,THICKSD,1,XROLLPROD
294,THICKW,1,XROLLPROD
295,TMPDRESSMAX,1,XROLLPROF
296,TUBIDD3,1,XROLLPROF
297,TUBIDD4,1,XROLLPROF
298,URLSCHEME,1,XROLLPROD
299,USEMAXROLL,1,XROLLPROF
300,VISSERTR1A,1,XROLLPROF
301,VISSERTR1B,1,XROLLPROF
302,VISSERTR1C,1,XROLLPROF
303,VISSERTR1D,1,XROLLPROF
304,VISSERTR1E,1,XROLLPROF
305,VISSERTR1F,1,XROLLPROF
306,VISSERTR3A,1,XROLLPROF
307,VISSERTR3B,1,XROLLPROF
308,VISSERTR3C,1,XROLLPROF
309,VISSERTR3D,1,XROLLPROF
310,VISSERTR3E,1,XROLLPROF
311,VISSERTR3F,1,XROLLPROF
312,WEIGHT4LENC,1,XROLLPROD
313,WEIGHT4LENH,1,XROLLPROD
314,WIDTH,1,XROLLPROF
